IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.240.141,8443,8443,true,SIN,Asia Pacific,Singapore,178,12.23
8.222.152.71,2096,2096,true,SIN,Asia Pacific,Singapore,102,12.23
8.219.129.38,2053,2053,true,SIN,Asia Pacific,Singapore,63,12.220000000000001
8.219.170.180,443,443,true,SIN,Asia Pacific,Singapore,105,12.220000000000001
47.245.86.230,443,443,true,SIN,Asia Pacific,Singapore,80,12.210000000000001
8.213.137.24,443,443,true,ICN,Asia Pacific,Seoul,142,12.210000000000001
47.236.15.73,2096,2096,true,SIN,Asia Pacific,Singapore,122,12.199999999999999
47.236.65.177,2053,2053,true,SIN,Asia Pacific,Singapore,71,12.199999999999999
47.236.94.109,2087,2087,true,SIN,Asia Pacific,Singapore,106,12.19
8.219.73.188,2053,2053,true,SIN,Asia Pacific,Singapore,156,12.19
47.236.201.98,2053,2053,true,SIN,Asia Pacific,Singapore,119,12.19
8.219.178.101,2087,2087,true,SIN,Asia Pacific,Singapore,114,12.19
8.219.201.245,2083,2083,true,SIN,Asia Pacific,Singapore,130,12.18
8.219.185.191,8443,8443,true,SIN,Asia Pacific,Singapore,115,12.17
8.219.195.47,8443,8443,true,SIN,Asia Pacific,Singapore,204,12.17
8.222.215.228,2053,2053,true,SIN,Asia Pacific,Singapore,64,12.17
8.222.212.219,2083,2083,true,SIN,Asia Pacific,Singapore,52,12.16
8.222.180.86,8443,8443,true,SIN,Asia Pacific,Singapore,106,12.16
47.245.11.108,2053,2053,true,NRT,Asia Pacific,Tokyo,280,12.15
8.222.167.147,8443,8443,true,SIN,Asia Pacific,Singapore,53,12.15
8.219.210.64,8443,8443,true,SIN,Asia Pacific,Singapore,135,12.15
47.245.11.216,8443,8443,true,NRT,Asia Pacific,Tokyo,199,12.140000000000001
47.245.7.212,2087,2087,true,NRT,Asia Pacific,Tokyo,243,12.140000000000001
8.222.145.164,2083,2083,true,SIN,Asia Pacific,Singapore,109,12.130000000000001
47.245.30.208,2083,2083,true,NRT,Asia Pacific,Tokyo,171,12.130000000000001
8.219.170.58,2053,2053,true,SIN,Asia Pacific,Singapore,162,12.130000000000001
47.236.189.173,2096,2096,true,SIN,Asia Pacific,Singapore,171,12.119999999999999
